company_name,article_date,article_name,company_symbol,article_url,article_text
International Business Machines Corporation,2020-06-11 01:15:23 UTC,Amazon Places One-Year Moratorium On Police Use Of Facial Recognition Technology,IBM,https://www.benzinga.com/news/20/06/16229048/amazon-places-one-year-moratorium-on-police-use-of-facial-recognition-technology,datum engineering analytic company Cloudera Inc CLDR Tuesday report enterprise software company strategic option Cloudera analyst Morgan Stanley analyst Sanjit Singh overweight rating price target Cloudera Wells Fargo Securities analyst Philip Winslow Equal weight rating price target Needham analyst Jack Andrews hold rating sale Rumors Recovery sale rumor Cloudera consecutive quarter business stabilization Hortonworks integration Singh company product roadmap Cloudera Data Platform CDP analyst opportunity ARR growth management margin cash flow fundamental story light drop share last week result well subscription operating margin Singh analyst Robert Bearden ceo M&A proclivity Hortonworks Cloudera Docker enterprise business Mirantis past year hypothetical takeout price price target share TTM ~5.4x NTM high share takeout price TTM ~6.6x NTM discount current trading range smid cap software peer NTM analyst note investor News IBM Cloudera Rumor Deal Rationale Potential Pricing private equity strategic acquirer allured Cloudera leadership position Hadoop Spark ecosystem Winslow renewal rate wake introduction CDP Public Cloud concern elevated churn level general valuation software acquisition Wells Fargo potential offer price Cloudera share transaction firm ongoing rollout CDP early customer feedback customer interest adoption reduction elevated level churn Cloudera Cloudera Acquisition possible Cloudera quality company great financial stride term FCF Andrews analyst small number suitor IBM IBM likely strategic buyer IBM midst Red Hat buy new ceo scenario likely Needham Cloudera share acquisition CLDR possible material shareholder current level share time publication Benzinga.com Benzinga investment advice right Benzinga Edge major upgrade downgrade change accurate analyst trade insight alert analyst rating free report news
International Business Machines Corporation,2020-06-10 09:46:36 UTC,"Cloudera Analysts Examine Potential Suitors, Takeout Price Amid Sale Rumor",IBM,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16221802/cloudera-analysts-examine-potential-suitors-takeout-price-amid-sale-rumor,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-06-09 06:45:53 UTC,Shares of several technology companies are trading lower as equities sell off following recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following run up.,IBM,https://www.benzinga.com/wiim/20/06/16212962/shares-of-several-technology-companies-are-trading-lower-as-equities-sell-off-following-recent-rally,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-06-08 20:25:09 UTC,"IBM Discontinues Facial Recognition Technology, Says It Can't Condone 'Racial Profiling' Or 'Mass Surveillance'",IBM,https://www.benzinga.com/news/20/06/16208383/ibm-discontinues-facial-recognition-technology-says-it-cant-condone-racial-profiling-or-mass-surveil,International Business Machines Corporation IBM undisclosed number employee new Chief Executive Arvind Krishna job cut ongoing coronavirus pandemic major economic downturn new ceo IBM growth restructuring effort step direction Wall Street Journal job cut several unit IBM Global Technology Services GTS division outsourcing last month IBM charge earning restructuring cost division IBM Watson Artificial Intelligence unit job unit priority Krishna predecessor Ginni Rometty IBM several year Krishna guidance action tough decision WSJ cut workforce division IBM medical coverage employee United States June Krishna last month IBM ready acquisition cloud computing artificial intelligence segment willingness part company company new focus IBM EPS month year IBM share high hour session Thursday share regular session low benzinga.com Benzinga investment advice right trade insight alert analyst rating free report news
International Business Machines Corporation,2020-06-05 05:54:02 UTC,Shares of several companies in the broader technology sector are trading higher as markets rally on strong US jobs data.,IBM,https://www.benzinga.com/wiim/20/06/16189501/shares-of-several-companies-in-the-broader-technology-sector-are-trading-higher-as-markets-rally-on,challenge trading option lack comparison tool option index option volatility historical volatility option spread strategy different option contract past performance example share risk reversal strategy price example put option little call option high IV trade good deal bad deal impossible lack benchmark general option industry Dmitry Parganamik co founder option research platform MarketChameleon VIX VIX credit put IBM IBM benchmark important quick comparison Parganamik tool price option historical pricing useful option spread variability different option leg option volatility different volatility option contract different volatility different expiration different volatility different strike skew today skew good bad risk reversal trade Apple Inc AAPL example MarketChameleon risk reversal trade call put + current price day week average source Marketchameleon short trade good deal historical average trade corresponding call parameter following source Marketchameleon trade profitable trade chart payout diagram expiration strategy source Marketchameleon real question pricing payout trade historical pattern trade good deal week average call put Apple much good deal source Marketchameleon average trade credit trade trade credit short risk reversal trade Apple call current price put current price day much historical average full interview Dmitry Parganamik PreMarket Prep Benzinga.com Benzinga investment advice right position smart money favorite Benzinga Edge Unusual Options board trade insight alert analyst rating free report news
International Business Machines Corporation,2020-06-03 07:55:15 UTC,"Shares of several technology companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls. The sector has performed well this year amid the stay-at-home environment, which has been a positive for virtual communication, enterprise software and e-commerce.",IBM,https://www.benzinga.com/wiim/20/06/16170957/shares-of-several-technology-companies-are-trading-higher-as-equities-continue-to-gain-on-optimism-o,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-06-03 01:36:00 UTC,IBM Services and Aegon Sign Contract of Portfolio Administration for 800K Individual Life Insurance Contracts,IBM,https://www.benzinga.com/news/20/06/16166955/ibm-services-and-aegon-sign-contract-of-portfolio-administration-for-800k-individual-life-insurance,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-05-27 08:48:45 UTC,This New Tool Will Tell You Whether Or Not An Options Spread Is A Good Deal,IBM,https://www.benzinga.com/general/education/20/05/16120055/this-new-tool-will-tell-you-whether-or-not-an-options-spread-is-a-good-deal,Amazon Inc. AMZN Wednesday police use Rekognition facial recognition software year outrage United States killing George Floyd African American white policeman Minneapolis Amazon Web Service Rekognition service easy image analysis application retail giant day blog government place strong regulation ethical use facial recognition technology recent day Congress ready challenge year moratorium Congress enough time appropriate rule ready service law enforcement agency Immigration Customs Enforcement current user Washington County Sheriff Office able photo Rekognition day testimonial sheriff office identification time suspect day minute Research facial recognition technology prone racial gender bias pressure tech company killing George Floyd CNBC finding Massachusetts Institute Technology graduate researcher Joy Buolamwini Algorithmic Justice League Amazon shareholder vote last year ban use face recognition technology government agency shareholder favor International Business Machines Corporation IBM general purpose facial recognition analysis software practice Amazon share low hour session Wednesday share regular session high Benzinga.com Benzinga investment advice right trade insight alert analyst rating free report news
International Business Machines Corporation,2020-05-26 07:12:36 UTC,Shares of several technology companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,IBM,https://www.benzinga.com/wiim/20/05/16107309/shares-of-several-technology-companies-are-trading-higher-in-sympathy-with-the-overall-market-as-equ,International Business Machines Corporation IBM Chief Executive Officer Arvind Krishna Monday company general purpose facial recognition analysis software CNBC IBM use technology facial recognition technology vendor mass surveillance racial profiling violation basic human right freedom purpose consistent value Principles Trust Transparency Krishna letter United States Congress time national dialogue facial recognition technology domestic law enforcement agency IBM CEO artificial intelligence powerful tool law enforcement citizen safe need technology bias bias source familiar matter CNBC facial recognition business profitable company decision ethical practical ground Krishna Congress police reform aftermath death George Floyd resultant widespread protest U.S. Floyd Minneapolis black man encounter police law enforcement officer neck minute second Floyd unconscious official complaint matter death Floyd problem systematic racial profiling country major technology giant Apple Inc. AAPL Amazon.com Inc. AMZN criticism inherent racial bias facial recognition technology IBM share high Monday share low hour session benzinga.com Benzinga investment advice right trade insight alert analyst rating free report news
International Business Machines Corporation,2020-05-22 00:00:00 UTC,IBM Is Cutting 'Several Thousand' Jobs,IBM,https://www.benzinga.com/news/20/05/16096755/ibm-is-cutting-several-thousand-jobs,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-05-22 00:00:00 UTC,IBM's Announces Company-Wide Job Cuts As New CEO Attempts Restructuring,IBM,https://www.benzinga.com/news/20/05/16092070/ibms-announces-company-wide-job-cuts-as-new-ceo-attempts-restructuring,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-05-21 00:00:00 UTC,IBM Cutting Unspecified Number of Jobs,IBM,https://www.benzinga.com/news/20/05/16091259/ibm-cutting-unspecified-number-of-jobs,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-05-18 00:00:00 UTC,Shares of several technology companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine.,IBM,https://www.benzinga.com/wiim/20/05/16055382/shares-of-several-technology-companies-are-trading-higher-amid-market-strength-as-news-from-a-modern,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
International Business Machines Corporation,2020-05-13 00:00:00 UTC,"Shares of several technology companies are trading lower amid market weakness, selling off from recent sector strength. Equities have moved lower for the session, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy.",IBM,https://www.benzinga.com/wiim/20/05/16023444/shares-of-several-technology-companies-are-trading-lower-amid-market-weakness-selling-off-from-recen,trade fast news alert world headline article sample real time intelligence Benzinga Pro trader fast accurate intelligence exclusive story Benzinga reporter serious trader Benzinga Pro community Trade insight alert analyst rating free report news
